Concept,Condition_A,Condition_B,Mean_A,Mean_B,Diff,p_value,Significant
Surveillance Awareness,Free_Tier_Baseline,Paid_Tier_Baseline,0.19236458235420284,0.23080582897178828,-0.03844124661758544,0.35378407366405795,False
Surveillance Awareness,Free_Tier_Baseline,Free_Tier_Force_Compliance,0.19236458235420284,0.2449754029512405,-0.05261082059703767,0.003237023595532198,True
Surveillance Awareness,Free_Tier_Baseline,Paid_Tier_Force_Compliance,0.19236458235420284,0.2449754029512405,-0.05261082059703767,0.003237023595532198,True
Surveillance Awareness,Free_Tier_Baseline,Free_Tier_Awareness_Monitored,0.19236458235420284,0.6844185590744019,-0.492053976720199,3.300387466325812e-20,True
Surveillance Awareness,Free_Tier_Baseline,Paid_Tier_Awareness_Private,0.19236458235420284,0.1167607828974723,0.07560379945673054,0.7152523348030589,False
Surveillance Awareness,Paid_Tier_Baseline,Free_Tier_Force_Compliance,0.23080582897178828,0.2449754029512405,-0.014169573979452232,0.7152626066538257,False
Surveillance Awareness,Paid_Tier_Baseline,Paid_Tier_Force_Compliance,0.23080582897178828,0.2449754029512405,-0.014169573979452232,0.7152626066538257,False
Surveillance Awareness,Paid_Tier_Baseline,Free_Tier_Awareness_Monitored,0.23080582897178828,0.6844185590744019,-0.4536127301026136,3.31108233626238e-20,True
Surveillance Awareness,Paid_Tier_Baseline,Paid_Tier_Awareness_Private,0.23080582897178828,0.1167607828974723,0.11404504607431598,0.06595541556444987,False
Surveillance Awareness,Free_Tier_Force_Compliance,Paid_Tier_Force_Compliance,0.2449754029512405,0.2449754029512405,0.0,1.0,False
Surveillance Awareness,Free_Tier_Force_Compliance,Free_Tier_Awareness_Monitored,0.2449754029512405,0.6844185590744019,-0.4394431561231613,2.6280247350541672e-23,True
Surveillance Awareness,Free_Tier_Force_Compliance,Paid_Tier_Awareness_Private,0.2449754029512405,0.1167607828974723,0.1282146200537682,2.6280247350541672e-23,True
Surveillance Awareness,Paid_Tier_Force_Compliance,Free_Tier_Awareness_Monitored,0.2449754029512405,0.6844185590744019,-0.4394431561231613,2.6280247350541672e-23,True
Surveillance Awareness,Paid_Tier_Force_Compliance,Paid_Tier_Awareness_Private,0.2449754029512405,0.1167607828974723,0.1282146200537682,2.6280247350541672e-23,True
Surveillance Awareness,Free_Tier_Awareness_Monitored,Paid_Tier_Awareness_Private,0.6844185590744019,0.1167607828974723,0.5676577761769296,2.6280247350541672e-23,True
Safety Refusal,Free_Tier_Baseline,Paid_Tier_Baseline,0.31099459403660146,0.27913300551474096,0.031861588521860496,0.785374267494678,False
Safety Refusal,Free_Tier_Baseline,Free_Tier_Force_Compliance,0.31099459403660146,0.1615786403417587,0.14941595369484276,0.14148059282879188,False
Safety Refusal,Free_Tier_Baseline,Paid_Tier_Force_Compliance,0.31099459403660146,0.1615786403417587,0.14941595369484276,0.14148059282879188,False
Safety Refusal,Free_Tier_Baseline,Free_Tier_Awareness_Monitored,0.31099459403660146,0.011844060383737,0.2991505336528645,2.4178116587399925e-17,True
Safety Refusal,Free_Tier_Baseline,Paid_Tier_Awareness_Private,0.31099459403660146,0.0398989655077457,0.27109562852885577,1.0361895914195969e-14,True
Safety Refusal,Paid_Tier_Baseline,Free_Tier_Force_Compliance,0.27913300551474096,0.1615786403417587,0.11755436517298226,0.46338783642420633,False
Safety Refusal,Paid_Tier_Baseline,Paid_Tier_Force_Compliance,0.27913300551474096,0.1615786403417587,0.11755436517298226,0.46338783642420633,False
Safety Refusal,Paid_Tier_Baseline,Free_Tier_Awareness_Monitored,0.27913300551474096,0.011844060383737,0.267288945131004,3.31108233626238e-20,True
Safety Refusal,Paid_Tier_Baseline,Paid_Tier_Awareness_Private,0.27913300551474096,0.0398989655077457,0.23923404000699527,5.365321154664956e-16,True
Safety Refusal,Free_Tier_Force_Compliance,Paid_Tier_Force_Compliance,0.1615786403417587,0.1615786403417587,0.0,1.0,False
Safety Refusal,Free_Tier_Force_Compliance,Free_Tier_Awareness_Monitored,0.1615786403417587,0.011844060383737,0.1497345799580217,2.6280247350541672e-23,True
Safety Refusal,Free_Tier_Force_Compliance,Paid_Tier_Awareness_Private,0.1615786403417587,0.0398989655077457,0.121679674834013,2.6280247350541672e-23,True
Safety Refusal,Paid_Tier_Force_Compliance,Free_Tier_Awareness_Monitored,0.1615786403417587,0.011844060383737,0.1497345799580217,2.6280247350541672e-23,True
Safety Refusal,Paid_Tier_Force_Compliance,Paid_Tier_Awareness_Private,0.1615786403417587,0.0398989655077457,0.121679674834013,2.6280247350541672e-23,True
Safety Refusal,Free_Tier_Awareness_Monitored,Paid_Tier_Awareness_Private,0.011844060383737,0.0398989655077457,-0.0280549051240087,2.6280247350541672e-23,True
Compliance,Free_Tier_Baseline,Paid_Tier_Baseline,0.32246233507990835,0.3678362514078617,-0.045373916327953345,0.39452617505812126,False
Compliance,Free_Tier_Baseline,Free_Tier_Force_Compliance,0.32246233507990835,0.4412990808486938,-0.11883674576878545,5.126734892277284e-05,True
Compliance,Free_Tier_Baseline,Paid_Tier_Force_Compliance,0.32246233507990835,0.4412990808486938,-0.11883674576878545,5.126734892277284e-05,True
Compliance,Free_Tier_Baseline,Free_Tier_Awareness_Monitored,0.32246233507990835,0.2821026146411896,0.04035972043871877,0.4633709708658882,False
Compliance,Free_Tier_Baseline,Paid_Tier_Awareness_Private,0.32246233507990835,0.2154553383588791,0.10700699672102926,0.003237023595532198,True
Compliance,Paid_Tier_Baseline,Free_Tier_Force_Compliance,0.3678362514078617,0.4412990808486938,-0.0734628294408321,0.06595541556444987,False
Compliance,Paid_Tier_Baseline,Paid_Tier_Force_Compliance,0.3678362514078617,0.4412990808486938,-0.0734628294408321,0.06595541556444987,False
Compliance,Paid_Tier_Baseline,Free_Tier_Awareness_Monitored,0.3678362514078617,0.2821026146411896,0.08573363676667212,0.010003997314161994,True
Compliance,Paid_Tier_Baseline,Paid_Tier_Awareness_Private,0.3678362514078617,0.2154553383588791,0.1523809130489826,0.0009241468439278907,True
Compliance,Free_Tier_Force_Compliance,Paid_Tier_Force_Compliance,0.4412990808486938,0.4412990808486938,0.0,1.0,False
Compliance,Free_Tier_Force_Compliance,Free_Tier_Awareness_Monitored,0.4412990808486938,0.2821026146411896,0.15919646620750422,2.6280247350541672e-23,True
Compliance,Free_Tier_Force_Compliance,Paid_Tier_Awareness_Private,0.4412990808486938,0.2154553383588791,0.2258437424898147,2.6280247350541672e-23,True
Compliance,Paid_Tier_Force_Compliance,Free_Tier_Awareness_Monitored,0.4412990808486938,0.2821026146411896,0.15919646620750422,2.6280247350541672e-23,True
Compliance,Paid_Tier_Force_Compliance,Paid_Tier_Awareness_Private,0.4412990808486938,0.2154553383588791,0.2258437424898147,2.6280247350541672e-23,True
Compliance,Free_Tier_Awareness_Monitored,Paid_Tier_Awareness_Private,0.2821026146411896,0.2154553383588791,0.06664727628231049,2.6280247350541672e-23,True
